ask,bid,last,open,low,high,volume,volumeQuote,timestamp
6740.36,6736.85,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:13.949Z
6740.36,6736.85,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:13.949Z
6740.36,6736.85,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:13.949Z
6740.36,6736.85,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:13.949Z
6740.36,6736.85,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:13.949Z
6740.36,6736.85,6738.18,6220.56,6141.43,6827.07,101384.23598,657986028.9120114,2020-03-24T13:34:13.949Z
6741.46,6739.04,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:14.349Z
6741.46,6739.04,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:14.349Z
6741.46,6739.04,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:14.449Z
6741.46,6739.04,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:14.449Z
6741.46,6739.04,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:14.548Z
6741.46,6739.04,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:14.548Z
6741.46,6739.04,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:14.647Z
6741.45,6739.04,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:14.748Z
6741.45,6739.04,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:14.748Z
6740.59,6735.15,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:14.848Z
6740.59,6735.15,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:14.949Z
6740.59,6735.15,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:14.949Z
6740.51,6736.06,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:15.050Z
6740.51,6736.06,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:15.050Z
6738.18,6735.18,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:15.152Z
6738.18,6735.18,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:15.152Z
6738.18,6735.18,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:15.152Z
6738.18,6735.18,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:15.152Z
6737.02,6735.18,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:15.351Z
6737.02,6735.18,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:15.351Z
6737.02,6735.18,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:15.351Z
6736.45,6734.69,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:15.550Z
6736.45,6734.69,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:15.550Z
6736.45,6734.69,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:15.550Z
6736.45,6734.69,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:15.550Z
6736.30,6733.23,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:15.751Z
6736.16,6733.24,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:15.851Z
6736.16,6733.24,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:15.851Z
6736.08,6733.25,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:15.951Z
6736.08,6733.25,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:15.951Z
6736.08,6733.25,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:15.951Z
6736.08,6733.25,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:15.951Z
6736.08,6733.25,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:15.951Z
6736.08,6733.25,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:15.951Z
6740.56,6733.29,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:16.249Z
6740.56,6733.29,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:16.249Z
6740.56,6733.29,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:16.249Z
6737.35,6733.25,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:16.451Z
6737.35,6733.25,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:16.451Z
6737.35,6733.25,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:16.451Z
6737.35,6733.25,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:16.451Z
6737.27,6733.42,6739.02,6220.56,6141.43,6827.07,101384.42161,657987280.1101104,2020-03-24T13:34:16.649Z
